t [d],LAI [-]
398.000,0.007
399.000,0.006
400.000,0.006
401.000,0.006
402.000,0.006
403.000,0.006
404.000,0.006
405.000,0.006
406.000,0.006
407.000,0.006
408.000,0.006
409.000,0.006
410.000,0.006
411.000,0.006
412.000,0.006
413.000,0.006
414.000,0.006
415.000,0.006
416.000,0.006
417.000,0.006
418.000,0.006
419.000,0.006
420.000,0.006
421.000,0.006
422.000,0.006
423.000,0.006
424.000,0.006
425.000,0.006
426.000,0.006
427.000,0.006
428.000,0.006
429.000,0.006
430.000,0.006
431.000,0.006
432.000,0.006
433.000,0.006
434.000,0.006
435.000,0.006
436.000,0.006
437.000,0.006
438.000,0.006
439.000,0.006
440.000,0.006
441.000,0.006
442.000,0.006
443.000,0.006
444.000,0.006
445.000,0.006
446.000,0.006
447.000,0.006
448.000,0.006
449.000,0.006
450.000,0.006
451.000,0.006
452.000,0.006
453.000,0.006
454.000,0.006
455.000,0.006
456.000,0.006
457.000,0.006
458.000,0.006
459.000,0.006
460.000,0.006
461.000,0.006
462.000,0.006
463.000,0.007
464.000,0.007
465.000,0.007
466.000,0.008
467.000,0.008
468.000,0.008
469.000,0.008
470.000,0.009
471.000,0.009
472.000,0.009
473.000,0.010
474.000,0.011
475.000,0.012
476.000,0.014
477.000,0.015
478.000,0.017
479.000,0.019
480.000,0.020
481.000,0.021
482.000,0.022
483.000,0.023
484.000,0.023
485.000,0.023
486.000,0.023
487.000,0.023
488.000,0.025
489.000,0.027
490.000,0.030
491.000,0.033
492.000,0.038
493.000,0.043
494.000,0.050
495.000,0.057
496.000,0.063
497.000,0.070
498.000,0.078
499.000,0.083
500.000,0.091
501.000,0.103
502.000,0.114
503.000,0.127
504.000,0.138
505.000,0.146
506.000,0.161
507.000,0.180
508.000,0.199
509.000,0.215
510.000,0.229
511.000,0.252
512.000,0.283
513.000,0.309
514.000,0.344
515.000,0.381
516.000,0.425
517.000,0.468
518.000,0.504
519.000,0.525
520.000,0.556
521.000,0.595
522.000,0.645
523.000,0.716
524.000,0.805
525.000,0.859
526.000,0.937
527.000,1.032
528.000,1.142
529.000,1.215
530.000,1.287
531.000,1.337
532.000,1.432
533.000,1.523
534.000,1.572
535.000,1.588
536.000,1.583
537.000,1.639
538.000,1.712
539.000,1.760
540.000,1.817
541.000,1.862
542.000,1.960
543.000,2.107
544.000,2.278
545.000,2.467
546.000,2.682
547.000,2.919
548.000,3.172
549.000,3.435
550.000,3.697
551.000,3.933
552.000,4.159
553.000,4.327
554.000,4.485
555.000,4.666
556.000,4.723
557.000,4.690
558.000,4.677
559.000,4.758
560.000,4.871
561.000,5.023
562.000,5.183
563.000,5.336
564.000,5.473
565.000,5.555
566.000,5.609
567.000,5.688
568.000,5.785
569.000,5.858
570.000,5.949
571.000,5.995
572.000,5.965
573.000,5.964
574.000,5.961
575.000,5.908
576.000,5.838
577.000,5.826
578.000,5.829
579.000,5.858
580.000,5.914
581.000,5.979
582.000,6.012
583.000,6.050
584.000,6.107
585.000,6.140
586.000,6.067
587.000,5.889
588.000,5.778
589.000,5.721
590.000,5.647
591.000,5.501
592.000,5.395
593.000,5.258
594.000,5.156
595.000,5.118
596.000,5.030
597.000,4.905
598.000,4.772
599.000,4.705
600.000,4.696
601.000,4.602
602.000,4.548
603.000,4.473
604.000,4.419
605.000,4.304
606.000,4.211
607.000,4.082
608.000,4.042
609.000,3.950
610.000,3.914
611.000,3.912
612.000,3.844
613.000,3.801
614.000,3.733
615.000,3.606
616.000,3.557
617.000,3.501
618.000,3.481
619.000,3.426
620.000,3.368
621.000,3.255
622.000,3.229
623.000,3.212
624.000,3.179
625.000,3.143
626.000,3.143
627.000,3.171
628.000,3.188
629.000,3.191
630.000,3.159
631.000,3.071
632.000,2.931
633.000,2.852
634.000,2.802
635.000,2.778
636.000,2.773
637.000,2.747
638.000,2.697
639.000,2.647
640.000,2.585
641.000,2.501
642.000,2.450
643.000,2.380
644.000,2.351
645.000,2.334
646.000,2.304
647.000,2.258
648.000,2.224
649.000,2.214
650.000,2.197
651.000,2.190
652.000,2.188
653.000,2.182
654.000,2.162
655.000,2.143
656.000,2.106
657.000,2.067
658.000,2.022
659.000,1.958
660.000,1.897
661.000,1.842
662.000,1.763
663.000,1.694
664.000,1.613
665.000,1.527
666.000,1.464
667.000,1.398
668.000,1.320
669.000,1.246
670.000,1.196
671.000,1.142
672.000,1.099
673.000,1.049
674.000,1.003
675.000,0.958
676.000,0.930
677.000,0.894
678.000,0.866
679.000,0.833
680.000,0.794
681.000,0.754
682.000,0.715
683.000,0.687
684.000,0.661
685.000,0.636
686.000,0.602
687.000,0.571
688.000,0.542
689.000,0.514
690.000,0.488
691.000,0.463
692.000,0.439
693.000,0.417
694.000,0.396
695.000,0.375
696.000,0.356
697.000,0.337
698.000,0.320
699.000,0.303
700.000,0.288
701.000,0.274
702.000,0.260
703.000,0.248
704.000,0.235
705.000,0.223
706.000,0.212
707.000,0.201
708.000,0.191
709.000,0.181
710.000,0.172
711.000,0.163
712.000,0.154
713.000,0.146
714.000,0.139
715.000,0.132
716.000,0.125
717.000,0.118
718.000,0.112
719.000,0.106
720.000,0.101
721.000,0.095
722.000,0.090
723.000,0.086
724.000,0.081
725.000,0.077
726.000,0.073
727.000,0.070
728.000,0.066
729.000,0.063
730.000,0.060
